chunks
"¿Me puedo matricular sin tener el usuario?

Claro que sí. Primero se realiza el curso para adquirir los conocimientos y registrar los datos.

Posteriormente, creará el usuario y pagará el entero."
"¿Tengo que llevar el casco o ustedes lo proporcionan?

Es conveniente traer un casco de su medida y gusto.

Pero si no lo trae, acá le daremos un casco y cinta reflectiva."
"¿Y si pierdo el examen teórico otra vez, por ejemplo, tengo que pagar otra vez 16 mil?
¿Quisiera volver a pagar la plataforma para estudiar para el examen de manejo teórico, cuánto sería?
La respeusta para ambas preguntas es:

El plazo del curso es de 120 días.

En el caso de que se le venza el plazo, debe cancelar 8500 colones al SINPE 61103205 a nombre de Víctor Hugo Aguilar Alfaro.

Se le activará por 120 días adicionales."
"Documentación personal

para cualquier trámite es indispensable:

1. Cédula de Identidad en perfecto estado y vigente. En el caso de extranjeros debe portar un documento migratorio vigente del tipo: carnet de refugio, permiso de trabajo o cédula de residencia
2. Ser mayor de edad."
"Usuario de acceso a cosevi
ESTE ES EL TRÁMITE DE INSCRIPCIÓN DE USUARIOS COSEVI
Los usuarios que deseen realizar algún trámite del proceso de licencias deben registrar sus datos y correo electrónico
El proceso es muy sencillo, simplemente debe presentarse en cualquiera de las 13 sedes de Licencias con su documento de identidad vigente para que lo incluyan en el sistema.
Solamente debe ir con cédula, una fotocopia de la cédula por ambos lados e indicarle al oficial en la entrada que necesita crear un usuario de acceso a la página licencias.
El oficial le dará las instrucciones a seguir en este proceso.
Posterior al registro recibirás un correo de confirmación y una clave temporal que debes cambiar por la que tu elijas. (si no puedes me avisas para ayudarte). Consejo: espere ahí hasta que le llegue el correo con la clave temporal. En ocasiones se equivocan y ponen mal los datos.
Cuando todo este listo tendrás acceso a todas las funciones que tiene Educación Vial (cancelar citas teóricas o prácticas, matrícula de cursos teóricos, matricula de pruebas de manejo, consultar tu expediente del conductor, historial de partes)"
"Exámenes teóricos anteriores
Las personas que hayan ganado su exámen teórico antes del 01 de marzo de 2026 cuentan con el teórico para todas las licencias de moto y carro.
Podrán realizar sus pruebas de manejo con normalidad durante todo el año 2026.
Una vez finalizado este plazo, este examen será contado únicamente para la categoría vehículos y si desea realizar de motocicletas entonces debe realizar la prueba teórica de motocicletas."
"Examen teórico de moto
Para obtener una de las licencias de motocicletas en cualquiera de sus categorías A1, A2 ó A3 o cuadraciclos el usuario deberá realizar un examen teórico específico para ello.
El costo de este curso es de 15.000 colones por persona."
"Examen teórico de carro
Para obtener una licencia de conducir de vehículos, camiones, tráiler, microbús, buseta, autobús o maquinaria; el usuario deberá realizar un examen teórico específico para ello
El costo de este curso es de 15.000 colones por persona"
"Enteros para prueba teórica

A la hora de realizar el pago del entero para prueba teórica le van a salir dos posibles opciones:

PTM: si el entero tiene estas iniciales significa que estas pagando el entero correspondiente al curso teórico para licencia de motocicleta

PTV: si el entero tiene estas iniciales significa que estas pagando el entero correspondiente al curso teórico para licencias de automóvil o vehículos
Si se equivoca al hacer este pago no podrá corregirse."
"Cita prueba de teórica
Este es un servicio gratuito que brindamos a nuestros alumnos que han realizado la capacitación del curso teórico con nuestra empresa.
Requisitos:
1. Tener el usuario cosevi creado
2. Tener el entero pagado para el tipo de curso teórico correspondiente
3. Llenar el formulario de solicitud de citas teóricas https://forms.gle/AKn9QGgByCEbBDDx8
Es necesario que el solicitante brinde sus datos de manera correcta para evitar errores que impidan el trámite"
"Requisitos para Pruebas de manejo
1. edad: 18 años, ya cumplidos.
2. aprobar el curso teórico de educación vial.
3. aprobar el examen práctico
4. presentar un dictamen médico oficial"
"Enteros para prueba de manejo
Existen varios tipos de enteros, por favor tome nota para evitar errores
A1: motos de 0 a 125 centímetros cúbicos
A2: motos de 126 a 500 centímetros cúbicos
A3: motos de 501 centímetros cúbicos en adelante
B1: automóvil de 0 a 4000 kilogramos
B2: camiones de 4001 a 8000 kilogramos
B3: camiones de 8001 kilogramos en adelante excepto los artículados tipo trailer
B4: camiones de 8001 kilogramos en adelante del tipo artículados tráiler
C1: para este tipo de licencia no existe entero de prueba de manejo sino que de una vez se paga el entero de licencia por primera vez
C2: microbús, buseta o autobús.
D1: tractor de llantas. Es el típico tractor que tiene llantas y se usa en labores agrícolas
D2: tractor de oruga. Es el tractor que en vez de llantas usa una faja metálica y es usado popularmente en actividades de reparaciones de carretera o movimientos de tierra importantes
D3: cualquier maquinaria que no sea ni el tractor de oruga ni el de llantas"
"Citas para prueba de manejo

Este es un servicio gratuito que brindamos a nuestros clientes que han realizado la capacitación del curso teórico para licencias con nosotros o que van a necesitar el servicio de alquiler para prueba de manejo con nosotros

Requisitos:

1. Tener el usuario cosevi creado
2. Tener el entero pagado para el tipo de licencia deseado
3. Llenar el formulario de solicitud de citas para prueba de manejo https://forms.gle/kTgfYQhHKJ1Tfzkj7
Es necesario que el solicitante brinde sus datos de manera correcta para evitar errores que impidan el trámite"
